review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
this moisturizer is seriously game changer love how one bottle could last me months,Netral,"{'classified_text': 'this moisturizer is seriously game changer love how one bottle could last me months', 'tweet_text': ' this moisturizer is seriously game changer love how one bottle could last me months', 'sentence_score': ['this moisturizer is seriously game changer love how one bottle could last me months'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",this moisturizer is seriously game changer love how one bottle could last me months, this moisturizer is seriously game changer love how one bottle could last me months,['this moisturizer is seriously game changer love how one bottle could last me months'],1,-1,netral
baru coba pertama kali moga bisa cocok karena reviewnya bagus,Netral,"{'classified_text': 'baru coba pertama kali moga bisa cocok [3] karena reviewnya bagus [4]', 'tweet_text': ' baru coba pertama kali moga bisa cocok karena reviewnya bagus', 'sentence_score': ['baru coba pertama kali moga bisa cocok [3] karena reviewnya bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",baru coba pertama kali moga bisa cocok [3] karena reviewnya bagus [4], baru coba pertama kali moga bisa cocok karena reviewnya bagus,['baru coba pertama kali moga bisa cocok [3] karena reviewnya bagus [4]'],4,-1,positif
mantap sesuai moga cocok,Netral,"{'classified_text': 'mantap [4] sesuai [4] moga cocok [3]', 'tweet_text': ' mantap sesuai moga cocok', 'sentence_score': ['mantap [4] sesuai [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4] sesuai [4] moga cocok [3], mantap sesuai moga cocok,['mantap [4] sesuai [4] moga cocok [3]'],4,-1,positif
tadi mau beli diofflinestore tapi mahal banget pas cek dionline store nya cuma karena dapat potong sama lagi flashsale langsung beli,Positif,"{'classified_text': 'tadi mau beli diofflinestore tapi mahal [-4] banget pas cek dionline store nya cuma [-2] karena dapat potong [-1] sama lagi flashsale langsung beli', 'tweet_text': ' tadi mau beli diofflinestore tapi mahal banget pas cek dionline store nya cuma karena dapat potong sama lagi flashsale langsung beli', 'sentence_score': ['tadi mau beli diofflinestore tapi mahal [-4] banget pas cek dionline store nya cuma [-2] karena dapat potong [-1] sama lagi flashsale langsung beli'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",tadi mau beli diofflinestore tapi mahal [-4] banget pas cek dionline store nya cuma [-2] karena dapat potong [-1] sama lagi flashsale langsung beli, tadi mau beli diofflinestore tapi mahal banget pas cek dionline store nya cuma karena dapat potong sama lagi flashsale langsung beli,['tadi mau beli diofflinestore tapi mahal [-4] banget pas cek dionline store nya cuma [-2] karena dapat potong [-1] sama lagi flashsale langsung beli'],1,-4,negatif
terima kasih,Positif,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4], terima kasih,['terima kasih [4]'],4,-1,positif
terima kasih,Netral,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4], terima kasih,['terima kasih [4]'],4,-1,positif
terima kasih tapi tumben enggak ada gift nya,Netral,"{'classified_text': 'terima kasih [4] tapi tumben enggak ada gift nya', 'tweet_text': ' terima kasih tapi tumben enggak ada gift nya', 'sentence_score': ['terima kasih [4] tapi tumben enggak ada gift nya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4] tapi tumben enggak ada gift nya, terima kasih tapi tumben enggak ada gift nya,['terima kasih [4] tapi tumben enggak ada gift nya'],4,-1,positif
tipe kulit minyak masalah kulit jerawat moga cocok sama rangkai ini terima kasih,Netral,"{'classified_text': 'tipe kulit minyak masalah [-4] kulit jerawat moga cocok [3] sama rangkai ini terima kasih [4]', 'tweet_text': ' tipe kulit minyak masalah kulit jerawat moga cocok sama rangkai ini terima kasih', 'sentence_score': ['tipe kulit minyak masalah [-4] kulit jerawat moga cocok [3] sama rangkai ini terima kasih [4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",tipe kulit minyak masalah [-4] kulit jerawat moga cocok [3] sama rangkai ini terima kasih [4], tipe kulit minyak masalah kulit jerawat moga cocok sama rangkai ini terima kasih,['tipe kulit minyak masalah [-4] kulit jerawat moga cocok [3] sama rangkai ini terima kasih [4]'],4,-4,netral
telah minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai atau memang enggak cocok,Netral,"{'classified_text': 'telah minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai atau memang enggak cocok [-3]', 'tweet_text': ' telah minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai atau memang enggak cocok', 'sentence_score': ['telah minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai atau memang enggak cocok [-3]'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",telah minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai atau memang enggak cocok [-3], telah minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai atau memang enggak cocok,['telah minggu pakai muka jadi bruntusan enggak tau memang efek samping pakai atau memang enggak cocok [-3]'],1,-3,negatif
bagus,Positif,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
kirim cukup cepat dan barang yang kirim sesuai pesan expired datenya dan,Positif,"{'classified_text': 'kirim cukup [3] cepat [5] dan barang yang kirim sesuai [3] pesan expired datenya dan', 'tweet_text': ' kirim cukup cepat dan barang yang kirim sesuai pesan expired datenya dan', 'sentence_score': ['kirim cukup [3] cepat [5] dan barang yang kirim sesuai [3] pesan expired datenya dan'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim cukup [3] cepat [5] dan barang yang kirim sesuai [3] pesan expired datenya dan, kirim cukup cepat dan barang yang kirim sesuai pesan expired datenya dan,['kirim cukup [3] cepat [5] dan barang yang kirim sesuai [3] pesan expired datenya dan'],5,-1,positif
cocok kulit saya enggak kering atau tarik kirim cepat mantap,Positif,"{'classified_text': 'cocok [3] kulit saya enggak kering atau tarik kirim cepat [4] mantap [5]', 'tweet_text': ' cocok kulit saya enggak kering atau tarik kirim cepat mantap', 'sentence_score': ['cocok [3] kulit saya enggak kering atau tarik kirim cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] kulit saya enggak kering atau tarik kirim cepat [4] mantap [5], cocok kulit saya enggak kering atau tarik kirim cepat mantap,['cocok [3] kulit saya enggak kering atau tarik kirim cepat [4] mantap [5]'],5,-1,positif
lipstik mudah patah saran kalau pakai jangan ulur terlalu panjang,Positif,"{'classified_text': 'lipstik mudah [3] patah saran kalau pakai jangan ulur terlalu panjang [3]', 'tweet_text': ' lipstik mudah patah saran kalau pakai jangan ulur terlalu panjang', 'sentence_score': ['lipstik mudah [3] patah saran kalau pakai jangan ulur terlalu panjang [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",lipstik mudah [3] patah saran kalau pakai jangan ulur terlalu panjang [3], lipstik mudah patah saran kalau pakai jangan ulur terlalu panjang,['lipstik mudah [3] patah saran kalau pakai jangan ulur terlalu panjang [3]'],3,-1,positif
barang lengkap packing aman dan rapi belum coba productnya moga cocok tipe kulit normal,Positif,"{'classified_text': 'barang lengkap packing aman [4] dan rapi [4] belum coba productnya moga cocok [3] tipe kulit normal [-1]', 'tweet_text': ' barang lengkap packing aman dan rapi belum coba productnya moga cocok tipe kulit normal', 'sentence_score': ['barang lengkap packing aman [4] dan rapi [4] belum coba productnya moga cocok [3] tipe kulit normal [-1]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang lengkap packing aman [4] dan rapi [4] belum coba productnya moga cocok [3] tipe kulit normal [-1], barang lengkap packing aman dan rapi belum coba productnya moga cocok tipe kulit normal,['barang lengkap packing aman [4] dan rapi [4] belum coba productnya moga cocok [3] tipe kulit normal [-1]'],4,-1,positif
baca review nya bagus mudah juga cocok terima kasih bonus pas banget pas lagi butuh,Positif,"{'classified_text': 'baca review nya bagus [4] mudah [4] juga cocok [3] terima kasih [4] bonus [4] pas banget pas lagi butuh', 'tweet_text': ' baca review nya bagus mudah juga cocok terima kasih bonus pas banget pas lagi butuh', 'sentence_score': ['baca review nya bagus [4] mudah [4] juga cocok [3] terima kasih [4] bonus [4] pas banget pas lagi butuh'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",baca review nya bagus [4] mudah [4] juga cocok [3] terima kasih [4] bonus [4] pas banget pas lagi butuh, baca review nya bagus mudah juga cocok terima kasih bonus pas banget pas lagi butuh,['baca review nya bagus [4] mudah [4] juga cocok [3] terima kasih [4] bonus [4] pas banget pas lagi butuh'],4,-1,positif
cocok kulit belum pakai jerawat biji di pipi agak radang malam kasih besok sudah mending dan kempes,Netral,"{'classified_text': 'cocok [3] kulit belum pakai jerawat biji di pipi agak radang [-2] malam kasih besok sudah mending dan kempes', 'tweet_text': ' cocok kulit belum pakai jerawat biji di pipi agak radang malam kasih besok sudah mending dan kempes', 'sentence_score': ['cocok [3] kulit belum pakai jerawat biji di pipi agak radang [-2] malam kasih besok sudah mending dan kempes'], 'max_positive': 3, 'max_negative': -2, 'kelas': 'positif'}",cocok [3] kulit belum pakai jerawat biji di pipi agak radang [-2] malam kasih besok sudah mending dan kempes, cocok kulit belum pakai jerawat biji di pipi agak radang malam kasih besok sudah mending dan kempes,['cocok [3] kulit belum pakai jerawat biji di pipi agak radang [-2] malam kasih besok sudah mending dan kempes'],3,-2,positif
benar bagus tapi di aku jatuh bikin bibir agak kering walaupun belum pakai lipstick sudah pakai lipbalm warna pigmented banget merah queennya bagus banget,Netral,"{'classified_text': 'benar [4] bagus [5] tapi di aku jatuh [-3] bikin bibir agak kering walaupun belum pakai lipstick sudah pakai lipbalm warna pigmented banget merah queennya bagus [5] banget', 'tweet_text': ' benar bagus tapi di aku jatuh bikin bibir agak kering walaupun belum pakai lipstick sudah pakai lipbalm warna pigmented banget merah queennya bagus banget', 'sentence_score': ['benar [4] bagus [5] tapi di aku jatuh [-3] bikin bibir agak kering walaupun belum pakai lipstick sudah pakai lipbalm warna pigmented banget merah queennya bagus [5] banget'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",benar [4] bagus [5] tapi di aku jatuh [-3] bikin bibir agak kering walaupun belum pakai lipstick sudah pakai lipbalm warna pigmented banget merah queennya bagus [5] banget, benar bagus tapi di aku jatuh bikin bibir agak kering walaupun belum pakai lipstick sudah pakai lipbalm warna pigmented banget merah queennya bagus banget,['benar [4] bagus [5] tapi di aku jatuh [-3] bikin bibir agak kering walaupun belum pakai lipstick sudah pakai lipbalm warna pigmented banget merah queennya bagus [5] banget'],5,-3,positif
exp date masih lama kirim juga cepat dapat diskon lumayan lagi thanks somethinc,Positif,"{'classified_text': 'exp date masih lama [-2] kirim juga cepat [4] dapat diskon lumayan [2] lagi thanks somethinc', 'tweet_text': ' exp date masih lama kirim juga cepat dapat diskon lumayan lagi thanks somethinc', 'sentence_score': ['exp date masih lama [-2] kirim juga cepat [4] dapat diskon lumayan [2] lagi thanks somethinc'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",exp date masih lama [-2] kirim juga cepat [4] dapat diskon lumayan [2] lagi thanks somethinc, exp date masih lama kirim juga cepat dapat diskon lumayan lagi thanks somethinc,['exp date masih lama [-2] kirim juga cepat [4] dapat diskon lumayan [2] lagi thanks somethinc'],4,-2,positif
moga cocok di kulit yang sensitif ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout,Positif,"{'classified_text': 'moga cocok [3] di kulit yang sensitif [-2] ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout', 'tweet_text': ' moga cocok di kulit yang sensitif ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout', 'sentence_score': ['moga cocok [3] di kulit yang sensitif [-2] ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout'], 'max_positive': 3, 'max_negative': -2, 'kelas': 'positif'}",moga cocok [3] di kulit yang sensitif [-2] ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout, moga cocok di kulit yang sensitif ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout,['moga cocok [3] di kulit yang sensitif [-2] ini karena banyak teman yang rekomen coba ini jadi langsung aku checkout'],3,-2,positif
belum coba moga cocok,Netral,"{'classified_text': 'belum coba moga cocok [3]', 'tweet_text': ' belum coba moga cocok', 'sentence_score': ['belum coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",belum coba moga cocok [3], belum coba moga cocok,['belum coba moga cocok [3]'],3,-1,positif
paket aman moga cocok,Positif,"{'classified_text': 'paket aman [4] moga cocok [3]', 'tweet_text': ' paket aman moga cocok', 'sentence_score': ['paket aman [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",paket aman [4] moga cocok [3], paket aman moga cocok,['paket aman [4] moga cocok [3]'],4,-1,positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif masalah kulit jerawat,Netral,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi tipe kulit sensitif [-2] masalah [-5] kulit jerawat', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif masalah kulit jerawat', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi tipe kulit sensitif [-2] masalah [-5] kulit jerawat'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi tipe kulit sensitif [-2] masalah [-5] kulit jerawat, tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi tipe kulit sensitif masalah kulit jerawat,['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi tipe kulit sensitif [-2] masalah [-5] kulit jerawat'],1,-5,negatif
kirim cepat packing bagus,Positif,"{'classified_text': 'kirim cepat [4] packing bagus [4]', 'tweet_text': ' kirim cepat packing bagus', 'sentence_score': ['kirim cepat [4] packing bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] packing bagus [4], kirim cepat packing bagus,['kirim cepat [4] packing bagus [4]'],4,-1,positif
sesuai dengan deskripsi,Positif,"{'classified_text': 'sesuai [3] dengan deskripsi', 'tweet_text': ' sesuai dengan deskripsi', 'sentence_score': ['sesuai [3] dengan deskripsi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",sesuai [3] dengan deskripsi, sesuai dengan deskripsi,['sesuai [3] dengan deskripsi'],3,-1,positif
ingredients nya bikin penasaran jadi pengin coba jauh ini selalu repurchase produk avo dan selalu cocok aaaa,Positif,"{'classified_text': 'ingredients nya bikin penasaran jadi pengin coba jauh [-2] ini selalu repurchase produk avo dan selalu cocok [3] a [2]', 'tweet_text': ' ingredients nya bikin penasaran jadi pengin coba jauh ini selalu repurchase produk avo dan selalu cocok a', 'sentence_score': ['ingredients nya bikin penasaran jadi pengin coba jauh [-2] ini selalu repurchase produk avo dan selalu cocok [3] a [2]'], 'max_positive': 3, 'max_negative': -2, 'kelas': 'positif'}",ingredients nya bikin penasaran jadi pengin coba jauh [-2] ini selalu repurchase produk avo dan selalu cocok [3] a [2], ingredients nya bikin penasaran jadi pengin coba jauh ini selalu repurchase produk avo dan selalu cocok a,['ingredients nya bikin penasaran jadi pengin coba jauh [-2] ini selalu repurchase produk avo dan selalu cocok [3] a [2]'],3,-2,positif
kirim lama banget tolong ganti kurir,Negatif,"{'classified_text': 'kirim lama [-3] banget tolong ganti kurir', 'tweet_text': ' kirim lama banget tolong ganti kurir', 'sentence_score': ['kirim lama [-3] banget tolong ganti kurir'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",kirim lama [-3] banget tolong ganti kurir, kirim lama banget tolong ganti kurir,['kirim lama [-3] banget tolong ganti kurir'],1,-3,negatif
emas oke moga cocok,Positif,"{'classified_text': 'emas [4] oke [4] moga cocok [3]', 'tweet_text': ' emas oke moga cocok', 'sentence_score': ['emas [4] oke [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",emas [4] oke [4] moga cocok [3], emas oke moga cocok,['emas [4] oke [4] moga cocok [3]'],4,-1,positif
ok moga cocok,Netral,"{'classified_text': 'ok [1] moga cocok [3]', 'tweet_text': ' ok moga cocok', 'sentence_score': ['ok [1] moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",ok [1] moga cocok [3], ok moga cocok,['ok [1] moga cocok [3]'],3,-1,positif
bintang karena pertama dikirimin yang expired sedang beli harga normal belum beli sudah chat tanya beda harga normal dan sale sale expired dan normal expired walaupun akhir bisa return dan ganti yang expired tapi proses return nya itu ribet banget utama pihak expedisi sicepat yang tidak segera pick up sampai hari maksud kalau dari awal teliti saya enggak perlu buang waktu untuk urus return nya moga depan makin teliti ya untuk packing sudah aman bagus admin juga responsive thank you,Negatif,"{'classified_text': 'bintang karena pertama dikirimin yang expired sedang beli harga normal [-1] belum beli sudah chat tanya beda harga normal [-1] dan sale sale expired dan normal [-1] expired walaupun akhir bisa return dan ganti yang expired tapi proses return nya itu ribet banget utama pihak expedisi sicepat yang tidak segera pick up sampai hari maksud kalau dari awal teliti saya enggak perlu buang [-3] waktu untuk urus return nya moga depan makin teliti ya untuk packing sudah aman [4] bagus [5] admin juga responsive thank you', 'tweet_text': ' bintang karena pertama dikirimin yang expired sedang beli harga normal belum beli sudah chat tanya beda harga normal dan sale sale expired dan normal expired walaupun akhir bisa return dan ganti yang expired tapi proses return nya itu ribet banget utama pihak expedisi sicepat yang tidak segera pick up sampai hari maksud kalau dari awal teliti saya enggak perlu buang waktu untuk urus return nya moga depan makin teliti ya untuk packing sudah aman bagus admin juga responsive thank you', 'sentence_score': ['bintang karena pertama dikirimin yang expired sedang beli harga normal [-1] belum beli sudah chat tanya beda harga normal [-1] dan sale sale expired dan normal [-1] expired walaupun akhir bisa return dan ganti yang expired tapi proses return nya itu ribet banget utama pihak expedisi sicepat yang tidak segera pick up sampai hari maksud kalau dari awal teliti saya enggak perlu buang [-3] waktu untuk urus return nya moga depan makin teliti ya untuk packing sudah aman [4] bagus [5] admin juga responsive thank you'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",bintang karena pertama dikirimin yang expired sedang beli harga normal [-1] belum beli sudah chat tanya beda harga normal [-1] dan sale sale expired dan normal [-1] expired walaupun akhir bisa return dan ganti yang expired tapi proses return nya itu ribet banget utama pihak expedisi sicepat yang tidak segera pick up sampai hari maksud kalau dari awal teliti saya enggak perlu buang [-3] waktu untuk urus return nya moga depan makin teliti ya untuk packing sudah aman [4] bagus [5] admin juga responsive thank you, bintang karena pertama dikirimin yang expired sedang beli harga normal belum beli sudah chat tanya beda harga normal dan sale sale expired dan normal expired walaupun akhir bisa return dan ganti yang expired tapi proses return nya itu ribet banget utama pihak expedisi sicepat yang tidak segera pick up sampai hari maksud kalau dari awal teliti saya enggak perlu buang waktu untuk urus return nya moga depan makin teliti ya untuk packing sudah aman bagus admin juga responsive thank you,['bintang karena pertama dikirimin yang expired sedang beli harga normal [-1] belum beli sudah chat tanya beda harga normal [-1] dan sale sale expired dan normal [-1] expired walaupun akhir bisa return dan ganti yang expired tapi proses return nya itu ribet banget utama pihak expedisi sicepat yang tidak segera pick up sampai hari maksud kalau dari awal teliti saya enggak perlu buang [-3] waktu untuk urus return nya moga depan makin teliti ya untuk packing sudah aman [4] bagus [5] admin juga responsive thank you'],5,-3,positif
packing aman dan expired masih lama,Positif,"{'classified_text': 'packing aman [4] dan expired masih lama [-2]', 'tweet_text': ' packing aman dan expired masih lama', 'sentence_score': ['packing aman [4] dan expired masih lama [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",packing aman [4] dan expired masih lama [-2], packing aman dan expired masih lama,['packing aman [4] dan expired masih lama [-2]'],4,-2,positif
huhu serum nya sudah datang cepat banget kirim beli dapat harga diskon baru pertama pakai ini moga cocok di muka ku tipe kulit normal,Positif,"{'classified_text': 'huhu serum nya sudah datang cepat [5] banget kirim beli dapat harga diskon baru pertama pakai ini moga cocok [3] di muka ku tipe kulit normal [-1]', 'tweet_text': ' huhu serum nya sudah datang cepat banget kirim beli dapat harga diskon baru pertama pakai ini moga cocok di muka ku tipe kulit normal', 'sentence_score': ['huhu serum nya sudah datang cepat [5] banget kirim beli dapat harga diskon baru pertama pakai ini moga cocok [3] di muka ku tipe kulit normal [-1]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",huhu serum nya sudah datang cepat [5] banget kirim beli dapat harga diskon baru pertama pakai ini moga cocok [3] di muka ku tipe kulit normal [-1], huhu serum nya sudah datang cepat banget kirim beli dapat harga diskon baru pertama pakai ini moga cocok di muka ku tipe kulit normal,['huhu serum nya sudah datang cepat [5] banget kirim beli dapat harga diskon baru pertama pakai ini moga cocok [3] di muka ku tipe kulit normal [-1]'],5,-1,positif
tipe kulit sensitif,Netral,"{'classified_text': 'tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit sensitif', 'sentence_score': ['tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit sensitif [-2], tipe kulit sensitif,['tipe kulit sensitif [-2]'],1,-2,negatif
ini kenapa paket saya di lempar sama kurir ya sudah jelas jelas ada tulis fragile di dus,Negatif,"{'classified_text': 'ini kenapa paket saya di lempar sama kurir ya sudah jelas [4] jelas [5] ada tulis fragile di dus', 'tweet_text': ' ini kenapa paket saya di lempar sama kurir ya sudah jelas jelas ada tulis fragile di dus', 'sentence_score': ['ini kenapa paket saya di lempar sama kurir ya sudah jelas [4] jelas [5] ada tulis fragile di dus'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",ini kenapa paket saya di lempar sama kurir ya sudah jelas [4] jelas [5] ada tulis fragile di dus, ini kenapa paket saya di lempar sama kurir ya sudah jelas jelas ada tulis fragile di dus,['ini kenapa paket saya di lempar sama kurir ya sudah jelas [4] jelas [5] ada tulis fragile di dus'],5,-1,positif
barang sudah sampai baru pertama kali coba moga cocok,Netral,"{'classified_text': 'barang sudah sampai baru pertama kali coba moga cocok [3]', 'tweet_text': ' barang sudah sampai baru pertama kali coba moga cocok', 'sentence_score': ['barang sudah sampai baru pertama kali coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang sudah sampai baru pertama kali coba moga cocok [3], barang sudah sampai baru pertama kali coba moga cocok,['barang sudah sampai baru pertama kali coba moga cocok [3]'],3,-1,positif
serum baik buat baik skin barier yang rusak pakai serum ini sejak dan hasil jerawat enggak pernah muncul lagi dan kulit jadi enggak pernah rewel lagi please jangan sampai enggak produksi lagi serum ini karena sudah jadi pakai kulit aku,Positif,"{'classified_text': 'serum baik [4] buat baik [4] skin barier yang rusak [-4] pakai serum ini sejak dan hasil jerawat enggak pernah muncul lagi dan kulit jadi enggak pernah rewel [-2] lagi please jangan sampai enggak produksi lagi serum ini karena sudah jadi pakai kulit aku', 'tweet_text': ' serum baik buat baik skin barier yang rusak pakai serum ini sejak dan hasil jerawat enggak pernah muncul lagi dan kulit jadi enggak pernah rewel lagi please jangan sampai enggak produksi lagi serum ini karena sudah jadi pakai kulit aku', 'sentence_score': ['serum baik [4] buat baik [4] skin barier yang rusak [-4] pakai serum ini sejak dan hasil jerawat enggak pernah muncul lagi dan kulit jadi enggak pernah rewel [-2] lagi please jangan sampai enggak produksi lagi serum ini karena sudah jadi pakai kulit aku'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",serum baik [4] buat baik [4] skin barier yang rusak [-4] pakai serum ini sejak dan hasil jerawat enggak pernah muncul lagi dan kulit jadi enggak pernah rewel [-2] lagi please jangan sampai enggak produksi lagi serum ini karena sudah jadi pakai kulit aku, serum baik buat baik skin barier yang rusak pakai serum ini sejak dan hasil jerawat enggak pernah muncul lagi dan kulit jadi enggak pernah rewel lagi please jangan sampai enggak produksi lagi serum ini karena sudah jadi pakai kulit aku,['serum baik [4] buat baik [4] skin barier yang rusak [-4] pakai serum ini sejak dan hasil jerawat enggak pernah muncul lagi dan kulit jadi enggak pernah rewel [-2] lagi please jangan sampai enggak produksi lagi serum ini karena sudah jadi pakai kulit aku'],4,-4,netral
cari alternatif ingredients yang bisa samar bekas jerawat aku karena enggak cocok sama vit niacin dan alpha arbutin,Netral,"{'classified_text': 'cari alternatif ingredients yang bisa samar [-2] bekas [-5] jerawat aku karena enggak cocok [-3] sama vit niacin dan alpha arbutin', 'tweet_text': ' cari alternatif ingredients yang bisa samar bekas jerawat aku karena enggak cocok sama vit niacin dan alpha arbutin', 'sentence_score': ['cari alternatif ingredients yang bisa samar [-2] bekas [-5] jerawat aku karena enggak cocok [-3] sama vit niacin dan alpha arbutin'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",cari alternatif ingredients yang bisa samar [-2] bekas [-5] jerawat aku karena enggak cocok [-3] sama vit niacin dan alpha arbutin, cari alternatif ingredients yang bisa samar bekas jerawat aku karena enggak cocok sama vit niacin dan alpha arbutin,['cari alternatif ingredients yang bisa samar [-2] bekas [-5] jerawat aku karena enggak cocok [-3] sama vit niacin dan alpha arbutin'],1,-5,negatif
dulu sudah pernah pakai dan ngefek banget ke kulit bikin jadi lembab dan enggak beruntus tapi dibarengin sama refining tonernya juga,Positif,"{'classified_text': 'dulu sudah pernah pakai dan ngefek banget ke kulit bikin jadi lembab dan enggak beruntus tapi dibarengin sama refining tonernya juga', 'tweet_text': ' dulu sudah pernah pakai dan ngefek banget ke kulit bikin jadi lembab dan enggak beruntus tapi dibarengin sama refining tonernya juga', 'sentence_score': ['dulu sudah pernah pakai dan ngefek banget ke kulit bikin jadi lembab dan enggak beruntus tapi dibarengin sama refining tonernya juga'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",dulu sudah pernah pakai dan ngefek banget ke kulit bikin jadi lembab dan enggak beruntus tapi dibarengin sama refining tonernya juga, dulu sudah pernah pakai dan ngefek banget ke kulit bikin jadi lembab dan enggak beruntus tapi dibarengin sama refining tonernya juga,['dulu sudah pernah pakai dan ngefek banget ke kulit bikin jadi lembab dan enggak beruntus tapi dibarengin sama refining tonernya juga'],1,-1,netral
